年,月,産業名_大分類,産業名_中分類,人数_人
令和3年,1月,農，林，漁業,農，林，漁業,45
令和3年,1月,鉱業，採石業，砂利採取業,鉱業，採石業，砂利採取業,5
令和3年,1月,建設業,建設業,468
令和3年,1月,製造業,製造業,688
令和3年,1月,製造業,食料品製造業,126
令和3年,1月,製造業,飲料・たばこ･飼料製造業,22
令和3年,1月,製造業,繊維工業,15
令和3年,1月,製造業,木材・木製品製造業（家具を除く）,7
令和3年,1月,製造業,家具・装備品製造業,8
令和3年,1月,製造業,パルプ・紙・紙加工品製造業,15
令和3年,1月,製造業,印刷・同関連業,8
令和3年,1月,製造業,化学工業,5
令和3年,1月,製造業,石油製品・石炭製品製造業,0
令和3年,1月,製造業,プラスチック製品製造業,28
令和3年,1月,製造業,ゴム製品製造業,3
令和3年,1月,製造業,窯業・土石製品製造業,13
令和3年,1月,製造業,鉄鋼業,2
令和3年,1月,製造業,非鉄金属製造業,17
令和3年,1月,製造業,金属製品製造業,58
令和3年,1月,製造業,はん用機械器具製造業,18
令和3年,1月,製造業,生産用機械器具製造業,65
令和3年,1月,製造業,業務用機械器具製造業,46
令和3年,1月,製造業,電子部品・デバイス・電子回路製造業,52
令和3年,1月,製造業,電気機械器具製造業,62
令和3年,1月,製造業,情報通信機械器具製造業,31
令和3年,1月,製造業,輸送用機械器具製造業,31
令和3年,1月,製造業,その他の製造業,56
令和3年,1月,電気・ガス・熱供給・水道業,電気・ガス・熱供給・水道業,3
令和3年,1月,情報通信業,情報通信業,37
令和3年,1月,運輸業，郵便業,運輸業，郵便業,227
令和3年,1月,卸売業，小売業,卸売業，小売業,545
令和3年,1月,金融業，保険業,金融業，保険業,23
令和3年,1月,不動産業，物品賃貸業,不動産業，物品賃貸業,31
令和3年,1月,学術研究，専門・技術サービス業,学術研究，専門・技術サービス業,99
令和3年,1月,宿泊業，飲食サービス業,宿泊業，飲食サービス業,230
令和3年,1月,生活関連サービス業，娯楽業,生活関連サービス業，娯楽業,193
令和3年,1月,教育，学習支援業,教育，学習支援業,159
令和3年,1月,医療，福祉,医療，福祉,1210
令和3年,1月,複合サービス事業,複合サービス事業,17
令和3年,1月,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,785
令和3年,1月,公務（他に分類されるものを除く）・その他,公務（他に分類されるものを除く）・その他,444
令和3年,1月,合計,合計,5209
令和3年,2月,農，林，漁業,農，林，漁業,113
令和3年,2月,鉱業，採石業，砂利採取業,鉱業，採石業，砂利採取業,4
令和3年,2月,建設業,建設業,563
